"What is a VPC in AWS?","A virtual private cloud (VPC) is a virtual network dedicated to your AWS account."
"What do Public VIFs in Direct Connect allow access to?","Public VIFs allow access to public services such as S3, EC2, and DynamoDB."
"What do Private VIFs in Direct Connect allow access to?","Private VIFs allow access to your VPC."
"From Direct Connect, to what can you connect?","From Direct Connect you can connect to all AZs within the Region."
"How can you establish connections to remote regions using Direct Connect?","You can establish IPSec connections over public VIFs to remote regions."
"How is Direct Connect charged?","Direct Connect is charged by port hours and data transfer."
"What speeds are available through AWS Direct Connect?","Available in 1Gbps and 10Gbps. Speeds of 50Mbps, 100Mbps, 200Mbps, 300Mbps, 400Mbps, and 500Mbps can be purchased through AWS Direct Connect Partners."
"For High Availability in Direct Connect, how many connections must you have?","For HA you must have 2 DX connections – can be active/active or active/standby."
"What needs to be updated to point to a Direct Connect connection?","Route tables need to be updated to point to a Direct Connect connection."
"What is the purpose of AWS Global Accelerator?","AWS Global Accelerator is a service that improves the availability and performance of applications with local or global users."
"What does AWS Global Accelerator provide for application endpoints?","It provides static IP addresses that act as a fixed entry point to application endpoints in a single or multiple AWS Regions, such as Application Load Balancers, Network Load Balancers or EC2 instances."
"How does AWS Global Accelerator enhance performance?","Uses the AWS global network to optimize the path from users to applications, improving the performance of TCP and UDP traffic."
"How does AWS Global Accelerator monitor application endpoints?","AWS Global Accelerator continually monitors the health of application endpoints and will detect an unhealthy endpoint and redirect traffic to healthy endpoints in less than 1 minute."
"What are the details and benefits of AWS Global Accelerator?","Uses redundant (two) static anycast IP addresses in different network zones (A and B), Uses AWS Edge Locations, Addresses are associated to regional AWS resources or endpoints, Intelligent traffic distribution, Routes connections to the closest point of presence for applications, Targets can be EC2 instances or Elastic Load Balancers, Static IP addresses negate the need for client-facing changes or DNS record updates."
"What is AWS Outposts?","AWS Outposts is a fully managed service that offers the same AWS infrastructure, services, APIs, and tools to virtually any datacenter, co-location space, or on-premises facility for a consistent hybrid experience."
"Why is AWS Outposts ideal for some workloads?","AWS Outposts is ideal for workloads that require low latency access to on-premises systems, local data processing, data residency, and migration of applications with local system interdependencies."
"How is AWS Outposts available and what is its scale?","Outposts is available as a 42U rack that can scale from 1 rack to 96 racks to create pools of compute and storage capacity."
"What services can run on AWS Outposts?","Services include Amazon EC2, Amazon EBS, Amazon S3, Amazon VPC, Amazon ECS/EKS, Amazon RDS, and Amazon EMR."
